Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
FaceAll,42455.53,1.613,100,72.6036,560,1690,131,0.2,0.5,10
FaceAll,38107.47,1.743,100,72.6036,560,1690,131,0.2,0.5,10
FaceAll,45534.67,2.962,100,72.6036,560,1690,131,0.2,0.5,10
FaceAll,37935.97,2.983,100,72.426,560,1690,131,0.2,0.5,10
FaceAll,37376.93,2.893,100,72.5444,560,1690,131,0.2,0.5,10
FaceAll,40401.52,1.638,100,73.6686,560,1690,131,0.2,0.5,10
FaceAll,46283.93,2.821,100,72.6627,560,1690,131,0.2,0.5,10
FaceAll,40188.89,1.739,100,73.3136,560,1690,131,0.2,0.5,10
FaceAll,44518.99,1.637,100,72.6036,560,1690,131,0.2,0.5,10
FaceAll,42255.39,2.908,100,73.1361,560,1690,131,0.2,0.5,10
FaceAll,40481.86,2.846,100,72.426,560,1690,131,0.2,0.5,10
FaceAll,39465.6,2.771,100,73.2544,560,1690,131,0.2,0.5,10
FaceAll,48380.36,2.76,100,73.7278,560,1690,131,0.2,0.5,10
FaceAll,42560.04,1.595,100,71.9527,560,1690,131,0.2,0.5,10
FaceAll,45015.7,2.835,100,73.3728,560,1690,131,0.2,0.5,10
FaceAll,48145.27,2.709,100,72.7219,560,1690,131,0.2,0.5,10
FaceAll,44559.76,1.65,100,72.9586,560,1690,131,0.2,0.5,10
FaceAll,47985.86,2.938,100,72.2485,560,1690,131,0.2,0.5,10
FaceAll,45484.13,2.717,100,72.1302,560,1690,131,0.2,0.5,10
FaceAll,45388.37,2.854,100,72.6036,560,1690,131,0.2,0.5,10
FaceAll,50421.56,2.88,100,72.426,560,1690,131,0.2,0.5,10
FaceAll,44743.22,2.713,100,74.3787,560,1690,131,0.2,0.5,10
FaceAll,53102.9,1.619,100,72.4852,560,1690,131,0.2,0.5,10
FaceAll,45543.14,1.673,100,72.7219,560,1690,131,0.2,0.5,10
FaceAll,44238.84,2.752,100,73.3728,560,1690,131,0.2,0.5,10
FaceAll,53452.97,2.767,100,72.5444,560,1690,131,0.2,0.5,10
FaceAll,54609.58,1.597,100,72.7219,560,1690,131,0.2,0.5,10
FaceAll,47867.66,2.744,100,72.3077,560,1690,131,0.2,0.5,10
FaceAll,55488.41,2.726,100,73.2544,560,1690,131,0.2,0.5,10
FaceAll,49778.24,2.745,100,72.8402,560,1690,131,0.2,0.5,10
FaceAll,49469.99,2.745,100,73.4911,560,1690,131,0.2,0.5,10
FaceAll,49382.09,2.774,100,71.4201,560,1690,131,0.2,0.5,10
FaceAll,47418.32,2.763,100,72.1893,560,1690,131,0.2,0.5,10
FaceAll,53088.61,1.611,100,72.0118,560,1690,131,0.2,0.5,10
FaceAll,51944.47,2.82,100,72.6627,560,1690,131,0.2,0.5,10
FaceAll,47438.89,2.83,100,72.0118,560,1690,131,0.2,0.5,10
FaceAll,48395.94,1.603,100,73.4911,560,1690,131,0.2,0.5,10
FaceAll,59192.8,2.783,100,73.0178,560,1690,131,0.2,0.5,10
FaceAll,49845.01,2.745,100,72.1893,560,1690,131,0.2,0.5,10
FaceAll,55969.23,2.763,100,72.6036,560,1690,131,0.2,0.5,10
FaceAll,58341.83,2.84,100,73.9053,560,1690,131,0.2,0.5,10
FaceAll,53526.12,2.75,100,74.142,560,1690,131,0.2,0.5,10
FaceAll,57053.02,2.737,100,72.8994,560,1690,131,0.2,0.5,10
FaceAll,58943.73,2.78,100,72.7811,560,1690,131,0.2,0.5,10
FaceAll,59233.27,2.811,100,72.2485,560,1690,131,0.2,0.5,10
FaceAll,63788.72,2.779,100,72.2485,560,1690,131,0.2,0.5,10
FaceAll,56582.75,2.814,100,74.7929,560,1690,131,0.2,0.5,10
FaceAll,54742.22,2.756,100,72.9586,560,1690,131,0.2,0.5,10
FaceAll,58745.2,2.741,100,73.6095,560,1690,131,0.2,0.5,10
FaceAll,56904.94,2.736,100,72.071,560,1690,131,0.2,0.5,10
FaceAll,60551.27,2.818,100,72.4852,560,1690,131,0.2,0.5,10
FaceAll,65653.19,1.631,100,72.1893,560,1690,131,0.2,0.5,10
FaceAll,63972.42,2.731,100,72.426,560,1690,131,0.2,0.5,10
FaceAll,66255.82,1.656,100,72.1893,560,1690,131,0.2,0.5,10
FaceAll,76856.11,2.779,100,72.6627,560,1690,131,0.2,0.5,10
FaceAll,71579.96,6.201,100,72.3077,560,1690,131,0.2,0.5,10
FaceAll,83269.65,2.768,100,72.2485,560,1690,131,0.2,0.5,10
FaceAll,82489.96,2.914,100,71.8935,560,1690,131,0.2,0.5,10
FaceAll,95279.2,2.847,100,73.3136,560,1690,131,0.2,0.5,10
FaceAll,95232.66,2.833,100,73.0178,560,1690,131,0.2,0.5,10
FaceAll,130198.05,6.294,100,72.3077,560,1690,131,0.2,0.5,10
FaceFour,17.81,0.308,100,90.9091,24,88,350,0.3,0.6,10
FaceFour,29.57,0.524,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,30.33,0.497,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,30.46,0.519,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,30.59,0.536,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,31.82,0.46,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,29.12,0.536,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,29.34,0.542,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,30.58,0.524,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,29.64,0.571,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,30.57,0.595,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,30.62,0.554,100,89.7727,24,88,350,0.3,0.6,10
FaceFour,17.99,0.308,100,95.4545,24,88,350,0.3,0.6,10
FaceFour,32.21,0.554,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,17.95,0.297,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,29.46,0.541,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,30.24,0.556,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,30.3,0.546,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,30.51,0.556,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,30.71,0.513,100,95.4545,24,88,350,0.3,0.6,10
FaceFour,32.75,0.573,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,29.04,0.498,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,28.86,0.487,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,30.4,0.562,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,30.1,0.515,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,30.47,0.539,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,30.55,0.589,100,90.9091,24,88,350,0.3,0.6,10
