Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
Adiac,79.25,0.107,98.7179,57.0332,390,391,176,0.9,1,10
Adiac,80.49,0.116,99.4872,52.9412,390,391,176,0.9,1,10
Adiac,91.84,0.108,99.2308,56.0102,390,391,176,0.9,1,10
Adiac,75.6,0.105,98.7179,56.7775,390,391,176,0.9,1,10
Adiac,70.82,0.108,99.4872,56.5217,390,391,176,0.9,1,10
Adiac,88.54,0.105,99.4872,56.7775,390,391,176,0.9,1,10
Adiac,89.31,0.106,99.7436,58.8235,390,391,176,0.9,1,10
Adiac,75.17,0.108,99.2308,54.7315,390,391,176,0.9,1,10
Adiac,104.29,0.108,98.7179,59.0793,390,391,176,0.9,1,10
Adiac,89.54,0.109,99.2308,57.5448,390,391,176,0.9,1,10
Adiac,72.1,0.102,99.7436,56.7775,390,391,176,0.9,1,10
Adiac,81.27,0.108,99.7436,53.9642,390,391,176,0.9,1,10
Adiac,84.9,0.107,100,57.5448,390,391,176,0.9,1,10
Adiac,87.21,0.107,98.9744,58.312,390,391,176,0.9,1,10
Adiac,79.59,0.104,98.4615,56.5217,390,391,176,0.9,1,10
Adiac,95.93,0.109,98.4615,54.9872,390,391,176,0.9,1,10
Adiac,75.25,0.105,99.4872,54.9872,390,391,176,0.9,1,10
Adiac,98.84,0.106,99.2308,56.0102,390,391,176,0.9,1,10
Adiac,82.68,0.105,98.4615,56.0102,390,391,176,0.9,1,10
Adiac,84.34,0.103,99.2308,56.7775,390,391,176,0.9,1,10
Adiac,87.43,0.105,99.4872,55.7545,390,391,176,0.9,1,10
Adiac,101.04,0.191,99.7436,62.1483,390,391,176,0.9,1,10
Adiac,82.32,0.107,99.2308,58.312,390,391,176,0.9,1,10
Adiac,85.25,0.102,98.7179,54.4757,390,391,176,0.9,1,10
Adiac,77.73,0.105,99.2308,53.9642,390,391,176,0.9,1,10
Adiac,76.14,0.102,99.2308,55.7545,390,391,176,0.9,1,10
Adiac,84.27,0.112,99.4872,56.0102,390,391,176,0.9,1,10
Adiac,70.19,0.098,99.2308,55.243,390,391,176,0.9,1,10
Adiac,97.34,0.109,99.4872,54.7315,390,391,176,0.9,1,10
Adiac,88.42,0.106,99.7436,53.9642,390,391,176,0.9,1,10
Adiac,74.35,0.105,99.2308,57.0332,390,391,176,0.9,1,10
Adiac,83.15,0.121,99.7436,56.7775,390,391,176,0.9,1,10
Adiac,83.76,0.107,98.9744,54.4757,390,391,176,0.9,1,10
Adiac,152.41,0.105,98.9744,55.4987,390,391,176,0.9,1,10
Adiac,86.54,0.104,98.9744,53.4527,390,391,176,0.9,1,10
