Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen
Adiac,12.34,0.013,100,48.0818,390,391,176,0.9,1
Adiac,12.34,0.022,100,44.5013,390,391,176,0.9,1
Adiac,12.4,0.022,100,49.1049,390,391,176,0.9,1
Adiac,12.7,0.015,100,45.2685,390,391,176,0.9,1
Adiac,13.65,0.021,100,47.8261,390,391,176,0.9,1
Adiac,13.91,0.013,100,47.3146,390,391,176,0.9,1
Adiac,14.16,0.014,100,48.8491,390,391,176,0.9,1
Adiac,14.95,0.014,100,47.3146,390,391,176,0.9,1
Adiac,15.61,0.016,100,46.5473,390,391,176,0.9,1
Adiac,16.46,0.022,100,42.9668,390,391,176,0.9,1
Adiac,16.55,0.015,100,46.5473,390,391,176,0.9,1
Adiac,16.94,0.014,100,45.0128,390,391,176,0.9,1
Adiac,17.37,0.013,100,50.3836,390,391,176,0.9,1
Adiac,16.75,0.021,100,47.5703,390,391,176,0.9,1
Adiac,17.67,0.013,100,44.757,390,391,176,0.9,1
Adiac,18.12,0.024,100,45.7801,390,391,176,0.9,1
Adiac,20.54,0.012,100,48.3376,390,391,176,0.9,1
Adiac,21.33,0.022,100,43.4783,390,391,176,0.9,1
Adiac,30.1,0.025,100,48.0818,390,391,176,0.9,1
Adiac,14,0.022,100,48.0818,390,391,176,0.9,1
Adiac,16.43,0.023,100,46.0358,390,391,176,0.9,1
Adiac,10.31,0.012,100,45.5243,390,391,176,0.9,1
Adiac,10.52,0.013,100,48.0818,390,391,176,0.9,1
Adiac,10.53,0.013,100,42.711,390,391,176,0.9,1
Adiac,11.11,0.013,100,46.5473,390,391,176,0.9,1
Adiac,11.18,0.013,100,48.0818,390,391,176,0.9,1
Adiac,11.2,0.012,100,46.2916,390,391,176,0.9,1
Adiac,11.35,0.012,100,44.5013,390,391,176,0.9,1
Adiac,11.52,0.013,100,47.0588,390,391,176,0.9,1
Adiac,11.79,0.013,100,45.2685,390,391,176,0.9,1
Adiac,11.82,0.012,100,43.2225,390,391,176,0.9,1
Adiac,11.91,0.012,100,43.2225,390,391,176,0.9,1
Adiac,11.91,0.012,100,44.2455,390,391,176,0.9,1
Adiac,12.15,0.012,100,48.8491,390,391,176,0.9,1
Adiac,12.2,0.013,100,45.0128,390,391,176,0.9,1
Adiac,12.18,0.012,100,45.2685,390,391,176,0.9,1
Adiac,12.42,0.012,100,50.6394,390,391,176,0.9,1
Adiac,12.32,0.022,100,40.4092,390,391,176,0.9,1
Adiac,12.61,0.012,100,46.8031,390,391,176,0.9,1
Adiac,12.6,0.022,100,47.8261,390,391,176,0.9,1
Adiac,13.26,0.021,100,50.8951,390,391,176,0.9,1
Adiac,21.39,0.024,100,44.2455,390,391,176,0.9,1
Adiac,13.96,0.013,100,48.3376,390,391,176,0.9,1
Adiac,13.94,0.026,100,43.734,390,391,176,0.9,1
Adiac,13.98,0.022,100,48.8491,390,391,176,0.9,1
Adiac,14.85,0.021,100,49.6164,390,391,176,0.9,1
Adiac,15.2,0.014,100,46.8031,390,391,176,0.9,1
Adiac,15.68,0.013,100,43.4783,390,391,176,0.9,1
Adiac,23.87,0.023,100,47.8261,390,391,176,0.9,1
Adiac,18.25,0.023,100,49.8721,390,391,176,0.9,1
Adiac,10.5,0.012,100,47.3146,390,391,176,0.9,1
Adiac,11.32,0.014,100,48.0818,390,391,176,0.9,1
Adiac,12.21,0.014,100,49.1049,390,391,176,0.9,1
Adiac,29.61,0.023,100,50.8951,390,391,176,0.9,1
Adiac,28.81,0.014,100,48.5934,390,391,176,0.9,1
Adiac,11.98,0.024,100,46.8031,390,391,176,0.9,1
Adiac,14.87,0.023,100,45.5243,390,391,176,0.9,1
Adiac,16.77,0.029,100,40.9207,390,391,176,0.9,1
Adiac,17.9,0.026,100,47.3146,390,391,176,0.9,1
Adiac,18.93,0.021,100,48.5934,390,391,176,0.9,1
Adiac,19.29,0.021,100,46.5473,390,391,176,0.9,1
Adiac,10.9,0.011,100,47.0588,390,391,176,0.9,1
Adiac,42.46,0.027,100,47.3146,390,391,176,0.9,1
