Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
Adiac,125.75,0.135,100,58.5678,390,391,176,0.9,1,10
Adiac,127.38,0.128,100,59.5908,390,391,176,0.9,1,10
Adiac,136.05,0.13,100,59.5908,390,391,176,0.9,1,10
Adiac,190.03,0.242,100,56.266,390,391,176,0.9,1,10
Adiac,120.49,0.129,100,58.8235,390,391,176,0.9,1,10
Adiac,131.01,0.13,100,55.243,390,391,176,0.9,1,10
Adiac,193.75,0.246,100,57.8005,390,391,176,0.9,1,10
Adiac,133.39,0.13,100,57.0332,390,391,176,0.9,1,10
Adiac,137.15,0.129,100,58.0563,390,391,176,0.9,1,10
Adiac,151.53,0.232,100,57.289,390,391,176,0.9,1,10
Adiac,157.73,0.215,100,58.312,390,391,176,0.9,1,10
Adiac,141.84,0.223,100,57.289,390,391,176,0.9,1,10
Adiac,137.16,0.128,100,60.6138,390,391,176,0.9,1,10
Adiac,146.37,0.135,100,57.0332,390,391,176,0.9,1,10
Adiac,147.04,0.127,100,59.0793,390,391,176,0.9,1,10
Adiac,161.34,0.233,100,59.335,390,391,176,0.9,1,10
Adiac,159.45,0.232,100,60.3581,390,391,176,0.9,1,10
Adiac,161.37,0.243,100,57.289,390,391,176,0.9,1,10
Adiac,170.62,0.229,100,60.6138,390,391,176,0.9,1,10
Adiac,175.23,0.239,100,58.8235,390,391,176,0.9,1,10
Adiac,187.38,0.244,100,57.5448,390,391,176,0.9,1,10
Adiac,171.12,0.224,100,60.6138,390,391,176,0.9,1,10
Adiac,116.31,0.126,100,54.4757,390,391,176,0.9,1,10
Adiac,191.01,0.233,100,56.5217,390,391,176,0.9,1,10
Adiac,180.25,0.232,100,58.5678,390,391,176,0.9,1,10
Adiac,153.38,0.228,100,58.8235,390,391,176,0.9,1,10
Adiac,146.68,0.235,100,59.335,390,391,176,0.9,1,10
Adiac,161.74,0.231,100,56.7775,390,391,176,0.9,1,10
Adiac,113.1,0.124,100,59.8465,390,391,176,0.9,1,10
Adiac,169.43,0.235,100,54.2199,390,391,176,0.9,1,10
Adiac,140.62,0.129,100,58.5678,390,391,176,0.9,1,10
Adiac,164.71,0.231,100,59.335,390,391,176,0.9,1,10
Adiac,178.01,0.231,100,58.8235,390,391,176,0.9,1,10
Adiac,169.05,0.223,100,56.5217,390,391,176,0.9,1,10
Adiac,115.33,0.126,100,56.7775,390,391,176,0.9,1,10
Adiac,173.64,0.224,100,55.243,390,391,176,0.9,1,10
Adiac,176.25,0.23,100,57.0332,390,391,176,0.9,1,10
Adiac,110.86,0.124,100,58.8235,390,391,176,0.9,1,10
Adiac,110.92,0.127,100,58.5678,390,391,176,0.9,1,10
Adiac,133.72,0.128,100,58.8235,390,391,176,0.9,1,10
Adiac,185.01,0.234,100,62.4041,390,391,176,0.9,1,10
Adiac,110.78,0.123,100,57.8005,390,391,176,0.9,1,10
Adiac,131.35,0.132,100,62.4041,390,391,176,0.9,1,10
Adiac,115.75,0.131,100,57.8005,390,391,176,0.9,1,10
Adiac,127.02,0.131,100,60.6138,390,391,176,0.9,1,10
Adiac,127.5,0.129,100,58.8235,390,391,176,0.9,1,10
Adiac,128.11,0.129,100,59.335,390,391,176,0.9,1,10
Adiac,129.07,0.128,100,59.0793,390,391,176,0.9,1,10
Adiac,121.5,0.129,100,59.8465,390,391,176,0.9,1,10
Adiac,148.74,0.219,100,59.0793,390,391,176,0.9,1,10
Adiac,132.58,0.129,100,60.6138,390,391,176,0.9,1,10
Adiac,132.81,0.131,100,60.8696,390,391,176,0.9,1,10
Adiac,118.9,0.132,100,57.289,390,391,176,0.9,1,10
Adiac,136.34,0.13,100,57.5448,390,391,176,0.9,1,10
Adiac,120.26,0.131,100,59.8465,390,391,176,0.9,1,10
Adiac,154.43,0.22,100,60.6138,390,391,176,0.9,1,10
Adiac,205.33,0.229,100,58.312,390,391,176,0.9,1,10
Adiac,155.23,0.23,100,59.0793,390,391,176,0.9,1,10
Adiac,115.69,0.124,100,59.335,390,391,176,0.9,1,10
Adiac,131.72,0.132,100,59.0793,390,391,176,0.9,1,10
Adiac,288.2,0.229,100,61.8926,390,391,176,0.9,1,10
Adiac,142.94,0.209,100,57.289,390,391,176,0.9,1,10
Adiac,145.28,0.225,100,61.3811,390,391,176,0.9,1,10
Adiac,148.71,0.214,100,59.8465,390,391,176,0.9,1,10
Adiac,150.04,0.21,100,57.8005,390,391,176,0.9,1,10
Adiac,120.58,0.131,100,60.1023,390,391,176,0.9,1,10
Adiac,137.73,0.128,100,56.0102,390,391,176,0.9,1,10
Adiac,163.16,0.134,100,61.1253,390,391,176,0.9,1,10
Adiac,158.72,0.132,100,61.8926,390,391,176,0.9,1,10
Adiac,143.66,0.134,100,60.1023,390,391,176,0.9,1,10
Adiac,151.21,0.226,100,57.0332,390,391,176,0.9,1,10
Adiac,176.59,0.226,100,58.5678,390,391,176,0.9,1,10
Adiac,163.64,0.221,100,59.0793,390,391,176,0.9,1,10
Adiac,179.25,0.23,100,56.266,390,391,176,0.9,1,10
Adiac,326.14,0.474,100,59.335,390,391,176,0.9,1,10
Adiac,325.08,0.48,100,61.6368,390,391,176,0.9,1,10
Adiac,295.63,0.228,100,57.5448,390,391,176,0.9,1,10
Adiac,364.29,0.492,100,57.8005,390,391,176,0.9,1,10
Adiac,338.61,0.473,100,61.3811,390,391,176,0.9,1,10
Adiac,365.59,0.234,100,59.8465,390,391,176,0.9,1,10
Adiac,347.11,0.468,100,57.5448,390,391,176,0.9,1,10
Adiac,383.56,0.471,100,57.8005,390,391,176,0.9,1,10
ArrowHead,5.88,0.19,100,68,36,175,251,0.9,1,10
ArrowHead,5.91,0.171,100,67.4286,36,175,251,0.9,1,10
ArrowHead,5.73,0.174,100,68,36,175,251,0.9,1,10
ArrowHead,5.81,0.171,100,66.8571,36,175,251,0.9,1,10
ArrowHead,5.88,0.163,100,68,36,175,251,0.9,1,10
ArrowHead,17.18,0.341,100,68.5714,36,175,251,0.9,1,10
ArrowHead,6.04,0.155,100,68,36,175,251,0.9,1,10
