Dataset,TrainingTime,TestingTime,TrainingAccuacy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
ShapeletSim,789.15,1.1820,100.0000,85.5556,20,180,500,125,333,10
ShapeletSim,810.95,1.1540,100.0000,85.0000,20,180,500,125,333,10
ShapeletSim,759.14,1.2000,100.0000,85.5556,20,180,500,125,333,10
ShapeletSim,725.32,1.1970,100.0000,83.8889,20,180,500,125,333,10
ShapeletSim,801.91,1.1590,100.0000,85.5556,20,180,500,125,333,10
SonyAIBORobotSurface,1.02,0.0780,100.0000,85.6905,20,601,70,17,46,10
SonyAIBORobotSurface,0.83,0.0860,100.0000,89.3511,20,601,70,17,46,10
SonyAIBORobotSurface,1.28,0.0790,100.0000,87.6872,20,601,70,17,46,10
SonyAIBORobotSurface,0.82,0.0700,100.0000,86.3561,20,601,70,17,46,10
SonyAIBORobotSurface,0.89,0.0750,100.0000,87.3544,20,601,70,17,46,10
SonyAIBORobotSurface,0.97,0.0830,100.0000,85.3577,20,601,70,17,46,10
SonyAIBORobotSurface,0.93,0.0720,100.0000,88.5191,20,601,70,17,46,10
SonyAIBORobotSurface,0.97,0.0790,100.0000,89.5175,20,601,70,17,46,10
SonyAIBORobotSurface,0.88,0.0820,100.0000,86.8552,20,601,70,17,46,10
SonyAIBORobotSurface,0.94,0.0800,100.0000,86.3561,20,601,70,17,46,10
SonyAIBORobotSurfaceII,1.95,0.1250,100.0000,90.5561,27,953,65,16,43,10
SonyAIBORobotSurfaceII,2.17,0.1490,100.0000,86.7786,27,953,65,16,43,10
SonyAIBORobotSurfaceII,1.79,0.1200,100.0000,87.5131,27,953,65,16,43,10
SonyAIBORobotSurfaceII,2.13,0.1580,100.0000,87.9328,27,953,65,16,43,10
SonyAIBORobotSurfaceII,1.92,0.1460,100.0000,88.6674,27,953,65,16,43,10
SonyAIBORobotSurfaceII,1.95,0.1390,100.0000,87.8279,27,953,65,16,43,10
SonyAIBORobotSurfaceII,2.06,0.1270,100.0000,91.2907,27,953,65,16,43,10
SonyAIBORobotSurfaceII,2.05,0.1330,100.0000,84.7849,27,953,65,16,43,10
SonyAIBORobotSurfaceII,2.19,0.1610,100.0000,86.3589,27,953,65,16,43,10
SonyAIBORobotSurfaceII,1.96,0.1450,100.0000,90.7660,27,953,65,16,43,10
ToeSegmentation2,65.66,0.3400,100.0000,83.8462,36,130,343,85,228,10
ToeSegmentation2,59.93,0.3400,100.0000,83.8462,36,130,343,85,228,10
ToeSegmentation2,68.82,0.3430,100.0000,83.0769,36,130,343,85,228,10
ToeSegmentation2,59.51,0.3450,100.0000,84.6154,36,130,343,85,228,10
ToeSegmentation2,64.26,0.3420,100.0000,85.3846,36,130,343,85,228,10
ToeSegmentation2,63.79,0.3350,100.0000,85.3846,36,130,343,85,228,10
ToeSegmentation2,72.80,0.3460,100.0000,83.0769,36,130,343,85,228,10
ToeSegmentation2,63.33,0.3430,100.0000,83.0769,36,130,343,85,228,10
ToeSegmentation2,60.76,0.3500,100.0000,86.1538,36,130,343,85,228,10
ToeSegmentation2,65.35,0.3500,100.0000,83.8462,36,130,343,85,228,10
TwoLeadECG,1.13,0.1910,100.0000,94.7322,23,1139,82,20,54,10
TwoLeadECG,1.07,0.2140,100.0000,96.2248,23,1139,82,20,54,10
TwoLeadECG,1.07,0.1670,100.0000,90.8692,23,1139,82,20,54,10
TwoLeadECG,1.05,0.1970,100.0000,95.2590,23,1139,82,20,54,10
TwoLeadECG,0.94,0.2030,100.0000,94.6444,23,1139,82,20,54,10
TwoLeadECG,1.10,0.1960,100.0000,94.7322,23,1139,82,20,54,10
TwoLeadECG,1.02,0.1850,100.0000,91.5716,23,1139,82,20,54,10
TwoLeadECG,1.06,0.2020,100.0000,92.8007,23,1139,82,20,54,10
TwoLeadECG,0.99,0.1900,100.0000,94.9956,23,1139,82,20,54,10
TwoLeadECG,0.93,0.2060,100.0000,94.5566,23,1139,82,20,54,10
ArrowHead,174.07,0.3900,100.0000,67.4286,36,175,251,62,167,10
ArrowHead,188.19,0.3830,100.0000,72.5714,36,175,251,62,167,10
ArrowHead,175.58,0.4430,100.0000,65.1429,36,175,251,62,167,10
ArrowHead,185.29,0.4740,100.0000,62.8571,36,175,251,62,167,10
ArrowHead,180.36,0.4530,100.0000,65.7143,36,175,251,62,167,10
ArrowHead,187.37,0.4510,100.0000,67.4286,36,175,251,62,167,10
ArrowHead,179.40,0.5130,100.0000,68.5714,36,175,251,62,167,10
ArrowHead,172.64,0.4490,100.0000,70.8571,36,175,251,62,167,10
ArrowHead,177.43,0.5060,100.0000,70.2857,36,175,251,62,167,10
ArrowHead,177.04,0.5020,100.0000,67.4286,36,175,251,62,167,10
Beef,1618.84,0.4780,100.0000,53.3333,30,30,470,117,313,10
Beef,1751.04,0.4610,100.0000,66.6667,30,30,470,117,313,10
Beef,1626.10,0.4640,100.0000,56.6667,30,30,470,117,313,10
Beef,1843.33,0.4630,100.0000,53.3333,30,30,470,117,313,10
Beef,1821.99,0.4760,100.0000,56.6667,30,30,470,117,313,10
Beef,1650.48,0.4530,100.0000,63.3333,30,30,470,117,313,10
Beef,1738.38,0.4570,100.0000,66.6667,30,30,470,117,313,10
Beef,1780.15,0.4420,100.0000,56.6667,30,30,470,117,313,10
Beef,1686.11,0.4840,100.0000,70.0000,30,30,470,117,313,10
Beef,1897.15,0.4580,100.0000,56.6667,30,30,470,117,313,10
BeetleFly,292.68,0.1080,100.0000,65.0000,20,20,512,128,341,10
BeetleFly,264.25,0.1010,100.0000,75.0000,20,20,512,128,341,10
BeetleFly,242.84,0.1030,100.0000,75.0000,20,20,512,128,341,10
BeetleFly,268.63,0.1160,100.0000,85.0000,20,20,512,128,341,10
BeetleFly,262.77,0.1070,100.0000,70.0000,20,20,512,128,341,10
BeetleFly,263.93,0.1260,100.0000,85.0000,20,20,512,128,341,10
BeetleFly,284.51,0.1190,100.0000,70.0000,20,20,512,128,341,10
BeetleFly,269.61,0.1070,100.0000,65.0000,20,20,512,128,341,10
BeetleFly,186.94,0.1090,100.0000,75.0000,20,20,512,128,341,10
BeetleFly,237.13,0.1080,100.0000,75.0000,20,20,512,128,341,10
BirdChicken,682.68,0.0600,100.0000,90.0000,20,20,512,128,341,10
BirdChicken,679.61,0.0630,100.0000,90.0000,20,20,512,128,341,10
BirdChicken,689.75,0.0740,100.0000,90.0000,20,20,512,128,341,10
BirdChicken,673.31,0.0650,100.0000,90.0000,20,20,512,128,341,10
BirdChicken,670.18,0.0730,100.0000,90.0000,20,20,512,128,341,10
BirdChicken,696.42,0.0740,100.0000,90.0000,20,20,512,128,341,10
BirdChicken,680.08,0.0600,100.0000,90.0000,20,20,512,128,341,10
BirdChicken,694.72,0.0610,100.0000,70.0000,20,20,512,128,341,10
BirdChicken,657.94,0.0640,100.0000,90.0000,20,20,512,128,341,10
BirdChicken,697.74,0.0750,100.0000,90.0000,20,20,512,128,341,10
ECG200,289.64,0.0460,100.0000,82.0000,100,100,96,24,64,10
ECG200,288.98,0.0430,100.0000,82.0000,100,100,96,24,64,10
ECG200,308.01,0.0490,100.0000,84.0000,100,100,96,24,64,10
ECG200,316.79,0.0470,100.0000,83.0000,100,100,96,24,64,10
ECG200,320.68,0.0520,100.0000,83.0000,100,100,96,24,64,10
ECG200,285.54,0.0480,100.0000,83.0000,100,100,96,24,64,10
ECG200,290.11,0.0480,100.0000,83.0000,100,100,96,24,64,10
ECG200,309.79,0.0430,100.0000,81.0000,100,100,96,24,64,10
ECG200,302.05,0.0430,100.0000,83.0000,100,100,96,24,64,10
ECG200,318.86,0.0520,100.0000,79.0000,100,100,96,24,64,10
Gun_Point,53.20,0.0750,100.0000,98.6667,50,150,150,37,100,10
Gun_Point,52.57,0.0540,100.0000,98.0000,50,150,150,37,100,10
Gun_Point,52.76,0.0690,100.0000,98.0000,50,150,150,37,100,10
Gun_Point,52.38,0.0640,100.0000,96.6667,50,150,150,37,100,10
Gun_Point,54.66,0.0770,100.0000,97.3333,50,150,150,37,100,10
Gun_Point,54.40,0.0740,100.0000,94.6667,50,150,150,37,100,10
Gun_Point,52.39,0.0710,100.0000,95.3333,50,150,150,37,100,10
Gun_Point,52.01,0.0780,100.0000,94.6667,50,150,150,37,100,10
Gun_Point,55.41,0.0740,100.0000,98.6667,50,150,150,37,100,10
Gun_Point,52.27,0.0760,100.0000,97.3333,50,150,150,37,100,10
Meat,203.10,0.4230,100.0000,90.0000,60,60,448,112,298,10
Meat,208.64,0.3850,100.0000,86.6667,60,60,448,112,298,10
Meat,215.81,0.4150,100.0000,91.6667,60,60,448,112,298,10
Meat,216.54,0.3620,100.0000,86.6667,60,60,448,112,298,10
Meat,213.00,0.3620,100.0000,86.6667,60,60,448,112,298,10
Meat,210.84,0.4610,100.0000,90.0000,60,60,448,112,298,10
Meat,215.99,0.4430,100.0000,88.3333,60,60,448,112,298,10
Meat,214.72,0.4590,100.0000,90.0000,60,60,448,112,298,10
Meat,210.05,0.4550,100.0000,91.6667,60,60,448,112,298,10
Meat,235.18,0.4560,100.0000,90.0000,60,60,448,112,298,10
OliveOil,585.70,0.3180,100.0000,83.3333,30,30,570,142,380,10
OliveOil,571.04,0.3070,100.0000,83.3333,30,30,570,142,380,10
OliveOil,609.31,0.3270,100.0000,83.3333,30,30,570,142,380,10
OliveOil,606.61,0.3100,100.0000,83.3333,30,30,570,142,380,10
OliveOil,517.66,0.3080,100.0000,76.6667,30,30,570,142,380,10
OliveOil,651.25,0.3040,100.0000,83.3333,30,30,570,142,380,10
OliveOil,619.20,0.3090,100.0000,83.3333,30,30,570,142,380,10
OliveOil,685.23,0.2970,100.0000,83.3333,30,30,570,142,380,10
OliveOil,687.59,0.3020,100.0000,83.3333,30,30,570,142,380,10
OliveOil,676.45,0.3120,100.0000,83.3333,30,30,570,142,380,10
Plane,29.54,0.1510,100.0000,96.1905,105,105,144,36,96,10
Plane,29.04,0.1590,100.0000,95.2381,105,105,144,36,96,10
Plane,30.25,0.1430,100.0000,95.2381,105,105,144,36,96,10
Plane,29.64,0.1640,100.0000,96.1905,105,105,144,36,96,10
Plane,29.54,0.1480,100.0000,96.1905,105,105,144,36,96,10
Plane,29.34,0.1360,100.0000,96.1905,105,105,144,36,96,10
Plane,30.25,0.1420,100.0000,96.1905,105,105,144,36,96,10
Plane,28.35,0.1560,100.0000,96.1905,105,105,144,36,96,10
