Dataset,TrainingTime,TestingTime,TrainingAccuacy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
ShapeletSim,660.74,1.2100,100.0000,83.8889,20,180,500,125,333,10
ShapeletSim,737.30,1.1850,100.0000,87.2222,20,180,500,125,333,10
SonyAIBORobotSurface,1.55,0.0750,100.0000,84.6922,20,601,70,17,46,10
SonyAIBORobotSurface,1.34,0.0810,100.0000,87.0216,20,601,70,17,46,10
SonyAIBORobotSurface,1.79,0.0630,100.0000,86.0233,20,601,70,17,46,10
SonyAIBORobotSurface,1.20,0.0610,100.0000,83.6938,20,601,70,17,46,10
SonyAIBORobotSurface,1.81,0.0730,100.0000,87.8536,20,601,70,17,46,10
SonyAIBORobotSurface,1.29,0.0710,100.0000,87.0216,20,601,70,17,46,10
SonyAIBORobotSurface,1.35,0.0770,100.0000,89.1847,20,601,70,17,46,10
SonyAIBORobotSurface,1.45,0.0760,100.0000,85.1913,20,601,70,17,46,10
SonyAIBORobotSurface,1.70,0.0840,100.0000,87.1880,20,601,70,17,46,10
SonyAIBORobotSurface,1.02,0.0680,100.0000,88.3527,20,601,70,17,46,10
SonyAIBORobotSurfaceII,2.52,0.1100,100.0000,87.0934,27,953,65,16,43,10
SonyAIBORobotSurfaceII,2.97,0.1470,100.0000,87.9328,27,953,65,16,43,10
SonyAIBORobotSurfaceII,2.59,0.1290,100.0000,88.4575,27,953,65,16,43,10
SonyAIBORobotSurfaceII,2.94,0.1430,100.0000,86.6737,27,953,65,16,43,10
SonyAIBORobotSurfaceII,2.71,0.1390,100.0000,86.4638,27,953,65,16,43,10
SonyAIBORobotSurfaceII,2.78,0.1320,100.0000,88.5624,27,953,65,16,43,10
SonyAIBORobotSurfaceII,3.10,0.1380,100.0000,89.6118,27,953,65,16,43,10
SonyAIBORobotSurfaceII,2.70,0.1240,100.0000,89.5068,27,953,65,16,43,10
SonyAIBORobotSurfaceII,2.65,0.1370,100.0000,88.2476,27,953,65,16,43,10
SonyAIBORobotSurfaceII,2.65,0.1440,100.0000,87.3033,27,953,65,16,43,10
ToeSegmentation2,67.79,0.3340,100.0000,83.8462,36,130,343,85,228,10
ToeSegmentation2,73.89,0.3300,100.0000,84.6154,36,130,343,85,228,10
ToeSegmentation2,69.25,0.3410,100.0000,85.3846,36,130,343,85,228,10
ToeSegmentation2,75.30,0.3320,100.0000,85.3846,36,130,343,85,228,10
ToeSegmentation2,67.89,0.3340,100.0000,86.1538,36,130,343,85,228,10
ToeSegmentation2,60.85,0.3410,100.0000,84.6154,36,130,343,85,228,10
ToeSegmentation2,65.17,0.3330,100.0000,85.3846,36,130,343,85,228,10
ToeSegmentation2,62.73,0.3410,100.0000,84.6154,36,130,343,85,228,10
