Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen
ArrowHead,17.19,0.033,100,64,36,175,251,0.25,0.67
ArrowHead,15.59,0.038,100,64,36,175,251,0.25,0.67
ArrowHead,10.81,0.013,100,59.4286,36,175,251,0.25,0.67
ArrowHead,16.82,0.04,100,63.4286,36,175,251,0.25,0.67
ArrowHead,12.03,0.034,100,69.7143,36,175,251,0.25,0.67
ArrowHead,19.27,0.046,100,68,36,175,251,0.25,0.67
ArrowHead,12.07,0.032,100,57.1429,36,175,251,0.25,0.67
ArrowHead,15.28,0.033,100,63.4286,36,175,251,0.25,0.67
ArrowHead,16.16,0.041,100,64,36,175,251,0.25,0.67
ArrowHead,17.56,0.034,100,66.2857,36,175,251,0.25,0.67
ArrowHead,11.38,0.024,100,72,36,175,251,0.25,0.67
ArrowHead,16.33,0.045,100,62.8571,36,175,251,0.25,0.67
ArrowHead,17.37,0.025,100,57.1429,36,175,251,0.25,0.67
ArrowHead,17.07,0.024,100,62.2857,36,175,251,0.25,0.67
ArrowHead,13.45,0.056,100,65.7143,36,175,251,0.25,0.67
ArrowHead,17.33,0.019,100,60,36,175,251,0.25,0.67
ArrowHead,11.59,0.016,100,65.1429,36,175,251,0.25,0.67
ArrowHead,16.34,0.028,100,62.2857,36,175,251,0.25,0.67
ArrowHead,16.69,0.038,100,57.7143,36,175,251,0.25,0.67
ArrowHead,12.43,0.027,100,69.1429,36,175,251,0.25,0.67
ArrowHead,18.99,0.032,100,62.2857,36,175,251,0.25,0.67
ArrowHead,19.93,0.037,100,71.4286,36,175,251,0.25,0.67
ArrowHead,18.06,0.026,100,72,36,175,251,0.25,0.67
ArrowHead,12.94,0.023,100,72.5714,36,175,251,0.25,0.67
ArrowHead,15.81,0.041,100,64,36,175,251,0.25,0.67
ArrowHead,9.12,0.029,100,64.5714,36,175,251,0.25,0.67
ArrowHead,12.23,0.025,100,62.2857,36,175,251,0.25,0.67
ArrowHead,13.95,0.046,100,65.1429,36,175,251,0.25,0.67
ArrowHead,14.55,0.047,100,65.1429,36,175,251,0.25,0.67
ArrowHead,15.01,0.049,100,59.4286,36,175,251,0.25,0.67
ArrowHead,10.7,0.025,100,59.4286,36,175,251,0.25,0.67
ArrowHead,11.34,0.023,100,61.7143,36,175,251,0.25,0.67
ArrowHead,18.79,0.049,100,64.5714,36,175,251,0.25,0.67
ArrowHead,18.81,0.053,100,62.8571,36,175,251,0.25,0.67
ArrowHead,17.91,0.039,100,60.5714,36,175,251,0.25,0.67
ArrowHead,14.53,0.047,100,64.5714,36,175,251,0.25,0.67
ArrowHead,17.01,0.032,100,61.7143,36,175,251,0.25,0.67
ArrowHead,11.03,0.014,100,72,36,175,251,0.25,0.67
ArrowHead,15.89,0.047,100,63.4286,36,175,251,0.25,0.67
ArrowHead,15.96,0.038,100,69.7143,36,175,251,0.25,0.67
ArrowHead,16.14,0.031,100,60.5714,36,175,251,0.25,0.67
ArrowHead,19.13,0.061,100,66.8571,36,175,251,0.25,0.67
