Dataset,TrainingTime,TestingTime,TrainingAccuacy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
MiddlePhalanxOutlineCorrect,1861.49,0.1840,100.0000,72.6667,291,600,80,0.900000,1.000000,10
MiddlePhalanxOutlineCorrect,2458.04,0.1980,100.0000,73.6667,291,600,80,0.900000,1.000000,10
MiddlePhalanxOutlineCorrect,1911.06,0.1710,100.0000,72.5000,291,600,80,0.900000,1.000000,10
MiddlePhalanxOutlineCorrect,2011.20,0.1610,100.0000,72.8333,291,600,80,0.900000,1.000000,10
MiddlePhalanxOutlineCorrect,2121.45,0.1820,100.0000,71.0000,291,600,80,0.900000,1.000000,10
MiddlePhalanxOutlineCorrect,2465.03,0.1980,100.0000,71.3333,291,600,80,0.900000,1.000000,10
MiddlePhalanxOutlineCorrect,2502.81,0.2460,100.0000,70.5000,291,600,80,0.900000,1.000000,10
MiddlePhalanxOutlineCorrect,1744.11,0.1720,100.0000,72.3333,291,600,80,0.900000,1.000000,10
MiddlePhalanxOutlineCorrect,2103.17,0.1740,100.0000,71.8333,291,600,80,0.900000,1.000000,10
Lighting7,2726.47,0.5560,100.0000,65.7534,70,73,319,0.600000,1.000000,10
MiddlePhalanxOutlineCorrect,2284.00,0.1930,100.0000,73.5000,291,600,80,0.900000,1.000000,10
DistalPhalanxTW,5690.70,0.2430,100.0000,74.7500,139,400,80,0.600000,1.000000,10
Lighting7,2817.41,0.5460,100.0000,68.4932,70,73,319,0.600000,1.000000,10
Lighting7,2608.24,0.5630,100.0000,64.3836,70,73,319,0.600000,1.000000,10
DistalPhalanxTW,5364.75,0.2350,100.0000,69.0000,139,400,80,0.600000,1.000000,10
Lighting7,2883.95,0.5650,100.0000,69.8630,70,73,319,0.600000,1.000000,10
Lighting7,2817.86,0.5570,100.0000,68.4932,70,73,319,0.600000,1.000000,10
DistalPhalanxTW,4928.09,0.2300,100.0000,72.7500,139,400,80,0.600000,1.000000,10
MiddlePhalanxTW,282.35,0.0880,100.0000,60.4010,154,399,80,0.900000,1.000000,10
MiddlePhalanxTW,281.55,0.1760,100.0000,60.4010,154,399,80,0.900000,1.000000,10
MiddlePhalanxTW,287.54,0.0920,100.0000,60.6516,154,399,80,0.900000,1.000000,10
MiddlePhalanxTW,292.08,0.1790,100.0000,59.8997,154,399,80,0.900000,1.000000,10
